city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Shanghai,31.1667,121.4667,China,CN,Shanghai,admin,22120000,22120000
Guangzhou,23.1288,113.2590,China,CN,Guangdong,admin,20902000,14498400
Beijing,39.9050,116.3914,China,CN,Beijing,primary,19433000,19433000
Shenzhen,22.5350,114.0540,China,CN,Guangdong,minor,15929000,12528300
Nanyang,32.9987,112.5292,China,CN,Henan,,12010000,12010000
Baoding,38.8671,115.4845,China,CN,Hebei,,11860000,11860000
Chengdu,30.6600,104.0633,China,CN,Sichuan,admin,11309000,11309000
Linyi,35.0606,118.3425,China,CN,Shandong,,10820000,10820000
Tianjin,39.1467,117.2056,China,CN,Tianjin,admin,10800000,10800000
Shijiazhuang,38.0422,114.5086,China,CN,Hebei,admin,10784600,10784600
Zhoukou,33.6250,114.6418,China,CN,Henan,minor,9901000,9901000
Handan,36.6116,114.4894,China,CN,Hebei,minor,9549700,9549700
Weifang,36.7167,119.1000,China,CN,Shandong,,9373000,9373000
Wuhan,30.5872,114.2881,China,CN,Hubei,admin,8962000,8962000
Heze,35.2333,115.4333,China,CN,Shandong,minor,8750000,8750000
Ganzhou,25.8292,114.9336,China,CN,Jiangxi,minor,8677600,8677600
Tongshan,34.2610,117.1859,China,CN,Jiangsu,minor,8669000,8669000
Changsha,28.1987,112.9709,China,CN,Hunan,admin,8394500,8394500
Fuyang,32.8986,115.8045,China,CN,Anhui,,8360000,8360000
Jining,35.4000,116.5667,China,CN,Shandong,,8023000,8023000
Dongguan,23.0475,113.7493,China,CN,Guangdong,minor,7981000,7981000
Jinan,36.6667,116.9833,China,CN,Shandong,admin,7967400,7967400
Foshan,23.0292,113.1056,China,CN,Guangdong,minor,7905700,7905700
Chongqing,29.5628,106.5528,China,CN,Chongqing,admin,7739000,7739000
Changchun,43.9000,125.2000,China,CN,Jilin,admin,7674439,7674439
Zhumadian,32.9773,114.0253,China,CN,Henan,,7640000,7640000
Ningbo,29.8750,121.5492,China,CN,Zhejiang,minor,7639000,7639000
Cangzhou,38.3037,116.8452,China,CN,Hebei,,7544300,7544300
Nanjing,32.0500,118.7667,China,CN,Jiangsu,admin,7496000,7260000
Hefei,31.8639,117.2808,China,CN,Anhui,admin,7457027,7457027
Zhanjiang,21.1967,110.4031,China,CN,Guangdong,minor,7332000,7332000
Shaoyang,27.2418,111.4725,China,CN,Hunan,,7302400,7302400
Hengyang,26.8968,112.5857,China,CN,Hunan,,7300600,7300600
Nantong,31.9829,120.8873,China,CN,Jiangsu,minor,7282835,7282835
Yancheng,33.3936,120.1339,China,CN,Jiangsu,minor,7260240,7260240
Nanning,22.8192,108.3150,China,CN,Guangxi,admin,7153300,7153300
Xi’an,34.2667,108.9000,China,CN,Shaanxi,admin,7135000,7135000
Shenyang,41.8039,123.4258,China,CN,Liaoning,admin,7105000,7105000
Tangshan,39.6292,118.1742,China,CN,Hebei,,7100000,7100000
Zhengzhou,34.7492,113.6605,China,CN,Henan,admin,7005000,7005000
Shangqiu,34.4259,115.6467,China,CN,Henan,,7000000,7000000
Yantai,37.3997,121.2664,China,CN,Shandong,,6968202,6968202
Xinyang,32.1264,114.0672,China,CN,Henan,,6634000,6634000
Shangrao,28.4419,117.9633,China,CN,Jiangxi,minor,6579714,6579714
Luoyang,34.6587,112.4245,China,CN,Henan,,6549941,6549941
Bijie,27.3019,105.2863,China,CN,Guizhou,,6537498,6537498
Quanzhou,24.9139,118.5858,China,CN,Fujian,minor,6480000,6480000
Hangzhou,30.2500,120.1675,China,CN,Zhejiang,admin,6446000,6446000
Huanggang,30.4500,114.8750,China,CN,Hubei,minor,6333000,6333000
Maoming,21.6618,110.9178,China,CN,Guangdong,minor,6313200,6313200
Kunming,25.0433,102.7061,China,CN,Yunnan,admin,6250000,6250000
Nanchong,30.7991,106.0784,China,CN,Sichuan,minor,6183000,6183000
Zunyi,27.7050,106.9336,China,CN,Guizhou,,6127009,6127009
Lu’an,31.7542,116.5078,China,CN,Anhui,minor,6090000,6090000
Jieyang,23.5533,116.3649,China,CN,Guangdong,minor,6089400,6089400
Yichun,27.8041,114.3830,China,CN,Jiangxi,minor,6048700,6048700
Changde,29.0397,111.6839,China,CN,Hunan,minor,6011000,6011000
Taizhou,28.6583,121.4221,China,CN,Zhejiang,minor,5968838,5968838
Liaocheng,36.4500,115.9833,China,CN,Shandong,minor,5955300,5955300
Qujing,25.5102,103.8029,China,CN,Yunnan,,5855055,5855055
Qingdao,36.1167,120.4000,China,CN,Shandong,minor,5775000,5775000
Dazhou,31.2152,107.4947,China,CN,Sichuan,minor,5693000,5693000
Suzhou,33.6333,116.9683,China,CN,Anhui,,5690000,5690000
